Name,Date inscribed,Danger list,Longitude,Latitude,Area hectares,Country,Continent,Geographical coordinates
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",2005-01-01,,26.69139,53.22278,0.0,Belarus,Europe and North America,"53.22278,26.69139"
Rock Paintings of the Sierra de San Francisco,1993-01-01,,-112.91611,27.65556,182600.0,Mexico,Latin America and the Caribbean,"27.65556,-112.91611"
Monastery of Horezu,1993-01-01,,24.01666667,45.18333333,22.48,Romania,Europe and North America,"45.18333333,24.01666667"
Belfries of Belgium and France,1999-01-01,,3.23139,50.17444,0.0,"Belgium,France",Europe and North America,"50.17444,3.23139"
Rock-Art Sites of Tadrart Acacus,1985-01-01,,10.33333,24.83333,0.0,Libya,Arab States,"24.83333,10.33333"
Abbey of St Gall,1983-01-01,,9.37778,47.42333,0.0,Switzerland,Europe and North America,"47.42333,9.37778"
Ancient City of Nessebar,1983-01-01,,27.73,42.65611,27.1,Bulgaria,Europe and North America,"42.65611,27.73"
Head-Smashed-In Buffalo Jump,1981-01-01,,-113.6238889,49.74944444,4000.0,Canada,Europe and North America,"49.74944444,-113.6238889"
Rhaetian Railway in the Albula / Bernina Landscapes,2008-01-01,,9.8463888889,46.4983333333,152.42,"Italy,Switzerland",Europe and North America,"46.4983333333,9.8463888889"
Val d'Orcia,2004-01-01,,11.55,43.06666667,61187.9609,Italy,Europe and North America,"43.06666667,11.55"
Kizhi Pogost,1990-01-01,,35.2275,62.07138889,0.5700000000000000,Russian Federation,Europe and North America,"62.07138889,35.2275"
Vlkolínec,1993-01-01,,19.2783333333,49.0391666667,4.9,Slovakia,Europe and North America,"49.0391666667,19.2783333333"
Historic City of Ayutthaya,1991-01-01,,100.56056,14.34778,289.0,Thailand,Asia and the Pacific,"14.34778,100.56056"
Tchogha Zanbil,1979-01-01,,48.53333333,32.0833,0.0,Iran (Islamic Republic of),Asia and the Pacific,"32.0833,48.53333333"
Archaeological Site of Cyrene,1982-01-01,,21.85833,32.825,0.0,Libya,Arab States,"32.825,21.85833"
Sacred City of Anuradhapura,1982-01-01,,80.38333333,8.333333333,0.0,Sri Lanka,Asia and the Pacific,"8.333333333,80.38333333"
Historic Centres of Stralsund and Wismar,2002-01-01,,13.08527778,54.3025,168.0,Germany,Europe and North America,"54.3025,13.08527778"
Buddhist Monuments at Sanchi,1989-01-01,,77.73972,23.47944,0.0,India,Asia and the Pacific,"23.47944,77.73972"
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),2004-01-01,,72.8362027777,18.9401222222,2.85,India,Asia and the Pacific,"18.9401222222,72.8362027777"
Historic Centre of Siena,1995-01-01,,11.33166667,43.31861111,170.0,Italy,Europe and North America,"43.31861111,11.33166667"
Island of Mozambique,1991-01-01,,40.73583,-15.03417,0.0,Mozambique,Africa,"-15.03417,40.73583"
Archaeological Site of Panamá Viejo and Historic District of Panamá,1997-01-01,,-79.54055556,8.951111111,57.4,Panama,Latin America and the Caribbean,"8.951111111,-79.54055556"
Crac des Chevaliers and Qal’at Salah El-Din,2006-01-01,,36.2630555555,34.7816666667,8.87,Syrian Arab Republic,Arab States,"34.7816666667,36.2630555555"
Verla Groundwood and Board Mill,1996-01-01,,26.64083,61.06194,22.778,"Finland,Finland",Europe and North America,"61.06194,26.64083"
S<U>G</U>ang Gwaay,1981-01-01,,-131.2202778,52.095,0.0,Canada,Europe and North America,"52.095,-131.2202778"
Tusi Sites,2015-01-01,,109.966944444,28.9986111111,781.28,China,Asia and the Pacific,"28.9986111111,109.966944444"
Urnes Stave Church,1979-01-01,,7.33333,61.3,0.0,Norway,Europe and North America,"61.3,7.33333"
Angkor,1992-01-01,P 1992-2004,103.8333333,13.43333333,40100.0,Cambodia,Asia and the Pacific,"13.43333333,103.8333333"
Monumental Earthworks of Poverty Point,2014-01-01,,-91.4063888889,32.6369444444,163.0,United States of America,Europe and North America,"32.6369444444,-91.4063888889"
Bahla Fort,1987-01-01,P 1988-2004,57.30111,22.96417,0.0,Oman,Arab States,"22.96417,57.30111"
The Great Wall,1987-01-01,,116.08333,40.41667,2151.55,China,Asia and the Pacific,"40.41667,116.08333"
Thracian Tomb of Kazanlak,1979-01-01,,25.4,42.61666667,0.0155,Bulgaria,Europe and North America,"42.61666667,25.4"
City of Quito,1978-01-01,,-78.5,-0.0038888890000000000,320.0,Ecuador,Latin America and the Caribbean,"-0.003888889,-78.5"
Antigua Guatemala,1979-01-01,,-90.66666667,14.56666667,0.0,Guatemala,Latin America and the Caribbean,"14.56666667,-90.66666667"
Historic Centre of the Town of Goiás,2001-01-01,,-50.13336,-15.93328,40.3,Brazil,Latin America and the Caribbean,"-15.93328,-50.13336"
Abu Mena,1979-01-01,Y 2001,29.66666667,30.85,182.72,Egypt,Arab States,"30.85,29.66666667"
Jesuit Missions of the Chiquitos,1990-01-01,,-60.5,-16.0,0.0,Bolivia (Plurinational State of),Latin America and the Caribbean,"-16.0,-60.5"
Baalbek,1984-01-01,,36.20494,34.00707,0.0,Lebanon,Arab States,"34.00707,36.20494"
Madriu-Perafita-Claror Valley,2004-01-01,,1.5955555560000000,42.49472222,4247.0,Andorra,Europe and North America,"42.49472222,1.595555556"
Abbey and Altenmünster of Lorsch,1991-01-01,,8.56858,49.65369,3.34,Germany,Europe and North America,"49.65369,8.56858"
Tokaj Wine Region Historic Cultural Landscape,2002-01-01,,21.35,48.15,13255.0,Hungary,Europe and North America,"48.15,21.35"
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",1982-01-01,,5.8763888889,46.9375,10.48,France,Europe and North America,"46.9375,5.8763888889"
Medina of Sousse,1988-01-01,,10.63861,35.82778,31.68,Tunisia,Arab States,"35.82778,10.63861"
"Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks",1995-01-01,,128.1,35.8,0.0,Republic of Korea,Asia and the Pacific,"35.8,128.1"
Historic Centre (Old Town) of Tallinn,1997-01-01,,24.73333333,59.43333,113.0,Estonia,Europe and North America,"59.43333,24.73333333"
Fuerte de Samaipata,1998-01-01,,-63.816666670000000,-18.16666667,0.0,Bolivia (Plurinational State of),Latin America and the Caribbean,"-18.16666667,-63.81666667"
Þingvellir National Park,2004-01-01,,-21.03725,64.25380556,9270.0,Iceland,Europe and North America,"64.25380556,-21.03725"
Historic Cairo,1979-01-01,,31.26111,30.05,523.66,Egypt,Arab States,"30.05,31.26111"
Castles and Town Walls of King Edward in Gwynedd,1986-01-01,,-4.276944444,53.13972222,6.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"53.13972222,-4.276944444"
"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge",1995-01-01,,4.806111111,43.95277778,8.2,France,Europe and North America,"43.95277778,4.806111111"
Mausoleum of the First Qin Emperor,1987-01-01,,109.1,34.38333333,0.0,China,Asia and the Pacific,"34.38333333,109.1"
Jesuit Block and Estancias of Córdoba,2000-01-01,,-64.19111,-31.420560000000000,38.12,Argentina,Latin America and the Caribbean,"-31.42056,-64.19111"
Burgos Cathedral,1984-01-01,,-3.7048138889,42.3405277778,1.03,Spain,Europe and North America,"42.3405277778,-3.7048138889"
"Qhapaq Ñan, Andean Road System",2014-01-01,,-69.5916666667,-18.25,11406.95,"Argentina,Bolivia (Plurinational State of),Chile,Colombia,Ecuador,Peru",Latin America and the Caribbean,"-18.25,-69.5916666667"
Luis Barragán House and Studio,2004-01-01,,-99.19833333,19.41833333,0.11610000000000000,Mexico,Latin America and the Caribbean,"19.41833333,-99.19833333"
Thracian Tomb of Sveshtari,1985-01-01,,26.66667,43.66667,647.6,Bulgaria,Europe and North America,"43.66667,26.66667"
L'viv – the Ensemble of the Historic Centre,1998-01-01,,24.03198,49.84163,120.0,Ukraine,Europe and North America,"49.84163,24.03198"
Old Town Lunenburg,1995-01-01,,-64.30916667,44.37611111,33.47,Canada,Europe and North America,"44.37611111,-64.30916667"
Royal Exhibition Building and Carlton Gardens,2004-01-01,,144.9702778,-37.80611111,26.0,Australia,Asia and the Pacific,"-37.80611111,144.9702778"
"National History Park – Citadel, Sans Souci, Ramiers",1982-01-01,,-72.24417,19.57361,0.0,Haiti,Latin America and the Caribbean,"19.57361,-72.24417"
Site of Xanadu,2012-01-01,,116.185127778,42.358,25131.27,China,Asia and the Pacific,"42.358,116.185127778"
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",1997-01-01,,14.32639,41.07333,87.37,Italy,Europe and North America,"41.07333,14.32639"
Gonbad-e Qābus,2012-01-01,,55.169,37.2580277778,1.4754,Iran (Islamic Republic of),Asia and the Pacific,"37.2580277778,55.169"
Rila Monastery,1983-01-01,,23.4,42.11666667,10.7,Bulgaria,Europe and North America,"42.11666667,23.4"
Asante Traditional Buildings,1980-01-01,,-1.6258333333000000,6.4011111111,0.0,Ghana,Africa,"6.4011111111,-1.6258333333"
Pythagoreion and Heraion of Samos,1992-01-01,,26.94333,37.69083,668.35,Greece,Europe and North America,"37.69083,26.94333"
Episcopal City of Albi,2010-01-01,,2.1425,43.9283333333,19.47,France,Europe and North America,"43.9283333333,2.1425"
Timgad,1982-01-01,,6.63333,35.45,90.54,Algeria,Arab States,"35.45,6.63333"
Works of Antoni Gaudí,1984-01-01,,2.152972,41.41338,0.0,Spain,Europe and North America,"41.41338,2.152972"
Historic City of Meknes,1996-01-01,,-5.55833,33.88333,0.0,Morocco,Arab States,"33.88333,-5.55833"
Ancient Villages of Northern Syria,2011-01-01,Y 2013,36.8441666667,36.3341666667,12290.0,Syrian Arab Republic,Arab States,"36.3341666667,36.8441666667"
Tabriz Historic Bazaar Complex,2010-01-01,,46.2930555556,38.0813888889,28.973300000000000,Iran (Islamic Republic of),Asia and the Pacific,"38.0813888889,46.2930555556"
Rock Art of the Mediterranean Basin on the Iberian Peninsula,1998-01-01,,-1.03331,39.78995,0.0,Spain,Europe and North America,"39.78995,-1.03331"
Major Town Houses of the Architect Victor Horta (Brussels),2000-01-01,,4.36223,50.82806,0.0,Belgium,Europe and North America,"50.82806,4.36223"
Historic Centre of Urbino,1998-01-01,,12.63333,43.725,29.23,Italy,Europe and North America,"43.725,12.63333"
Historic Quarter of the Seaport City of Valparaíso,2003-01-01,,-71.628,-33.04063889,23.2,Chile,Latin America and the Caribbean,"-33.04063889,-71.628"
L’Anse aux Meadows National Historic Site,1978-01-01,,-55.61666667,51.46666667,8056.0,Canada,Europe and North America,"51.46666667,-55.61666667"
Archaeological Site of Volubilis,1997-01-01,,-5.55694,34.07389,42.0,Morocco,Arab States,"34.07389,-5.55694"
Abbey Church of Saint-Savin sur Gartempe,1983-01-01,,0.86611,46.56472,1.6100000000000000,France,Europe and North America,"46.56472,0.86611"
Painted Churches in the Troodos Region,1985-01-01,,33.09583333,34.92027778,0.0,"Cyprus,Cyprus",Europe and North America,"34.92027778,33.09583333"
Parthian Fortresses of Nisa,2007-01-01,,58.1986111111,37.9997222222,77.905,Turkmenistan,Asia and the Pacific,"37.9997222222,58.1986111111"
Old City of Berne,1983-01-01,,7.45028,46.94806,84684.0,Switzerland,Europe and North America,"46.94806,7.45028"
Dougga / Thugga,1997-01-01,,9.22028,36.42361,70.0,Tunisia,Arab States,"36.42361,9.22028"
Residence of Bukovinian and Dalmatian Metropolitans,2011-01-01,,25.9247222222,48.2966666667,8.0,Ukraine,Europe and North America,"48.2966666667,25.9247222222"
Carolingian Westwork and Civitas Corvey,2014-01-01,,9.41025,51.7782777778,12.0,Germany,Europe and North America,"51.7782777778,9.41025"
Heart of Neolithic Orkney,1999-01-01,,-3.188666667,58.99605556,15.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"58.99605556,-3.188666667"
Antigua Naval Dockyard and Related Archaeological Sites,2016-01-01,,-61.7616666667,17.0069444444,255.0,Antigua and Barbuda,Latin America and the Caribbean,"17.0069444444,-61.7616666667"
Old and New Towns of Edinburgh,1995-01-01,,-3.216666667,55.95,0.0,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"55.95,-3.216666667"
Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,2010-01-01,,48.2913888889,38.2486111111,2.1353,Iran (Islamic Republic of),Asia and the Pacific,"38.2486111111,48.2913888889"
Historic Centre of Bukhara,1993-01-01,,64.42861,39.77472,200.0,Uzbekistan,Asia and the Pacific,"39.77472,64.42861"
Old Town of Segovia and its Aqueduct,1985-01-01,,-4.11675,40.94847222,134.28,Spain,Europe and North America,"40.94847222,-4.11675"
"Port, Fortresses and Group of Monuments, Cartagena",1984-01-01,,-75.53333333,10.41666667,0.0,Colombia,Latin America and the Caribbean,"10.41666667,-75.53333333"
Medina of Marrakesh,1985-01-01,,-7.98667,31.63139,1107.0,Morocco,Arab States,"31.63139,-7.98667"
